ELECTORS :,69474 VOTERS  : 53830 POLL PERCENTAGE  :,,77.48%,VALID VOTES,52830
Constituency,11 INDRI,,,,
1 .,LACHHMAN M,,LKD,25345,48.40%
2 .,DES RAJ M,,INC,20359,38.88%
No.,CANDIDATE,,SEX,PARTY,VOTES,%
3 .,SAT PAL,,M,IND,3057,5.84%
4 .,RAM SINGH,,M,IND,1053,2.01%
5 .,OM PRAKASH,,M,JNP,897,1.71%
6 .,SADHU RAM,,M,IND,382,0.73%
7 .,JOGINDER SINGH,,M,IND,350,0.67%
8 .,RAVI DATT,,M,IND,330,0.63%
9 .,BALAK RAM,,M,IND,182,0.35%
10 .,VIR SINGH,,M,IND,177,0.34%
11 .,RAGHUBIR SINGH,,M,IND,120,0.23%
12 .,SURJAN SINGH,,M,IND,68,0.13%
13 .,RAM SARUP,,M,IND,48,0.09%
ELECTORS :,76020 VOTERS  :,53368,POLL PERCENTAGE  :,70.20%,VALID VOTES,52368
Constituency,12 NILOKHERI,,,,,
1 .,CHANDA SINGH,,M,IND,18874,37.11%
2 .,SHIV RAM,,M,INC,15141,29.77%
3 .,SHYAM DASS,,M,BJP,9972,19.61%
4 .,RAM KISHAN,,M,IND,3466,6.82%
5 .,JAGMOHAN,,M,IND,1243,2.44%
6 .,BHUPINDER SINGH,,M,IND,1045,2.05%
7 .,BALWINDER JEET SINGH,,M,JNP,572,1.12%
8 .,RAM KUMAR,,M,IND,209,0.41%
9 .,HARBANS SINGH,,M,IND,117,0.23%
10 .,PRITHVI SINGH,,M,IND,114,0.22%
11 .,SULTAN SINGH,,M,IND,104,0.20%
ELECTORS :,72394 VOTERS  :,51805,POLL PERCENTAGE  :,71.56%,VALID VOTES,50857
Constituency,13 KARNAL,,,,,
1 .,SHANTI DEVI,,F,INC,30267,56.62%
2 .,RAM LAL,,M,BJP,17618,32.96%
3 .,PARAMJIT SINGH,,M,IND,1814,3.39%
4 .,AVTAR SINGH,,M,JNP,1340,2.51%
5 .,KALLU RAM,,M,IND,1108,2.07%
6 .,BHARTU RAM,,M,IND,418,0.78%
7 .,SHYAM SUNDER,,M,IND,203,0.38%
8 .,SAVITRI DEVI,,F,IND,157,0.29%
9 .,TRILOCHAN SINGH,,M,IND,132,0.25%
10 .,CHARAN DASS,,M,IND,107,0.20%
11 .,GANGA RAM,,M,IND,95,0.18%
12 .,PRITHVI RAJ,,M,IND,79,0.15%
13 .,BISHESHAR DASS,,M,IND,77,0.14%
14 .,PREM CHAND,,M,IND,42,0.08%
ELECTORS :,77633 VOTERS  :,54112,POLL PERCENTAGE  :,69.70%,VALID VOTES,53457
Constituency,14 JUNDLA (SC),,,,,
1 .,SUJAN SINGH,,M,LKD,14627,34.08%
2 .,SAGAR CHAND,,M,INC,12427,28.95%
3 .,BANWARI,,M,IND,6340,14.77%
4 .,JOGI RAM,,M,JNP,3235,7.54%
5 .,RATTAN SINGH,,M,IND,2155,5.02%
6 .,JHALU,,M,IND,1235,2.88%
No.,CANDIDATE,,SEX,PARTY,VOTES,%
7 .,AJIT SINGH,,M,IND,1228,2.86%
8 .,SURTA,,M,IND,603,1.40%
9 .,SARDHA RAM,,M,IND,533,1.24%
10 .,SARDARA,,M,IND,301,0.70%
11 .,PARBHA,,M,IND,136,0.32%
12 .,NAFA,,M,IND,99,0.23%
ELECTORS :,76372 VOTERS  : 43568,,POLL PERCENTAGE  :,57.05%,VALID VOTES,42919
Constituency,15 GHARAUNDA,,,,,
1 .,VED PAL,,M,INC,12646,23.89%
2 .,OM PRAKASH,,M,IND,11898,22.48%
3 .,BISHAN SINGH,,M,JNP,8857,16.73%
4 .,SUBE SINGH,,M,CPM,6320,11.94%
5 .,SOHAN LAL,,M,IND,5960,11.26%
6 .,MOHINDER SINGH,,M,LKD,3505,6.62%
7 .,RISHALA RAM,,M,IND,2915,5.51%
8 .,MADAN MOHAN,,M,IND,459,0.87%
9 .,BALBIR SINGH,,M,IND,372,0.70%
ELECTORS :,78474 VOTERS  : 53924,,POLL PERCENTAGE  :,68.72%,VALID VOTES,52932
Constituency,16 ASSANDH (SC),,,,,
1 .,MANPHOOL SINGH,,M,LKD,24880,57.64%
2 .,JOGI RAM,,M,INC,11304,26.19%
3 .,RAJINDER KUMAR,,M,IND,2343,5.43%
4 .,RAM DIYA,,M,IND,1470,3.41%
5 .,RISAL SINGH,,M,JNP,689,1.60%
6 .,TARA SINGH,,M,IND,477,1.11%
7 .,DHAN PAT,,M,IND,438,1.01%
8 .,GAJE SINGH,,M,IND,282,0.65%
9 .,JARNAIL SINGH,,M,IND,266,0.62%
10 .,KALAWATI,,F,IND,250,0.58%
11 .,KUNDAN,,M,IND,250,0.58%
12 .,MAN SINGH,,M,IND,230,0.53%
13 .,DHARAM SINGH,,M,IND,95,0.22%
14 .,MANGALI RAM,,M,IND,94,0.22%
15 .,PREM SINGH,,M,IND,52,0.12%
16 .,SATNAM,,M,IND,44,0.10%
ELECTORS :,76605 VOTERS  : 43793,,POLL PERCENTAGE  :,57.17%,VALID VOTES,43164
Constituency,17 PANIPAT,,,,,
1 .,FATEH CHAND,,M,BJP,26467,47.46%
2 .,KASTURI LAL,,M,INC,25555,45.82%
3 .,HARISH KUMAR,,M,IND,1529,2.74%
4 .,ANG SINGH ALIAS ATAR SINGH,,M,IND,695,1.25%
5 .,JUGINDER PAL,,M,JNP,686,1.23%
6 .,K. D. SHARMA,,M,IND,442,0.79%
7 .,BHIM RAJ,,M,IND,219,0.39%
8 .,ALI HASAN,,M,IND,121,0.22%
9 .,SATWANT SINGH,,M,IND,57,0.10%
ELECTORS :,79674 VOTERS  : 56404,,POLL PERCENTAGE  :,70.79%,VALID VOTES,55771
1
2
3
4
5
6
7
8
9
10
ELECTORS :78653
VOTERS  :55561
POLL PERCENTAGE  :70.64%
VALID VOTES54472
1
2
3
4
5
6
7
8
9
10
11
ELECTORS :74787
VOTERS  :53718
POLL PERCENTAGE  :71.83%
VALID VOTES52796
1
2
3
4
5
6
7
8
9
10
11
12
ELECTORS :71527
VOTERS  :54992
POLL PERCENTAGE  :76.88%
VALID VOTES54051
1
2
3
4
5
6
7
8
""
9
ELECTORS :69794
VOTERS  :50553
POLL PERCENTAGE  :72.43%
VALID VOTES49696
1
2
3
4
5
6
7
8
9
10
ELECTORS :74802,VOTERS  :53906,POLL PERCENTAGE  :72.06%,VALID VOTES52951
,,
1
2
3
4
5
6
7
ELECTORS :78019,VOTERS  :57582,POLL PERCENTAGE  :73.81%,VALID VOTES56656
,,
1
2
3
4
5
6
7
8
9
ELECTORS :78848
VOTERS  :55286
POLL PERCENTAGE  :70.12%
VALID VOTES54293
1
2
3
4
5
6
7
8
9
10
ELECTORS :68265
VOTERS  :52773
POLL PERCENTAGE  :77.31%
VALID VOTES51981
No.,CANDIDATE,,SEX,PARTY,VOTES,%
Constituency,26 PUNDRI,,,,,
1 .,ISHWAR SINGH,,M,INC,22392,42.26%
2 .,BHAG SINGH,,M,JNP,21837,41.21%
3 .,SHER SINGH,,M,LKD,2645,4.99%
4 .,PREM,,M,IND,1795,3.39%
5 .,BABU RAM,,M,IND,1397,2.64%
6 .,SATISH KUMAR,,M,IND,1366,2.58%
7 .,MEWA RAM,,M,IND,353,0.67%
8 .,KAMLA,,F,IND,337,0.64%
9 .,HARBANS LAL,,M,IND,326,0.62%
10 .,DIDAR SINGH,,M,IND,306,0.58%
11 .,RAMESH CHAND,,M,IND,117,0.22%
12 .,CHHAJJU RAM,,M,IND,63,0.12%
13 .,MAKHAN SINGH,,M,IND,54,0.10%
ELECTORS :,74270 VOTERS  :,53912,POLL PERCENTAGE  :,72.59%,VALID VOTES,52988
Constituency,27 PAI,,,,,
1 .,NAR SINGH,,M,LKD,24816,45.61%
2 .,TAJINDER PAL SINGH,,M,INC,20188,37.10%
3 .,JAGJIT SINGH POHLU,,M,IND,3948,7.26%
4 .,RAM CHANDER,,M,IND,3740,6.87%
5 .,RAM PAL,,M,JNP,884,1.62%
6 .,GAJA SINGH,,M,IND,215,0.40%
7 .,SATISH KUMAR,,M,IND,138,0.25%
8 .,BHIM SINGH,,M,IND,129,0.24%
9 .,BHIM SAIN,,M,IND,126,0.23%
10 .,MANGE RAM,,M,IND,117,0.22%
11 .,HUKAM CHAND,,M,IND,113,0.21%
ELECTORS :,74021 VOTERS  :,55252,POLL PERCENTAGE  :,74.64%,VALID VOTES,54414
Constituency,28 HASSANGARH,,,,,
1 .,BANANTI DEVI,,F,LKD,30344,60.78%
2 .,ANAND,,M,INC,16683,33.41%
3 .,RAJ SINGH,,M,IND,821,1.64%
4 .,JAGDISH,,M,IND,697,1.40%
5 .,RANBIR,,M,IND,535,1.07%
6 .,SHYAM KUMAR,,M,JNP,510,1.02%
7 .,SANT KUMAR,,M,IND,203,0.41%
8 .,BABLIR SINGH,,M,IND,134,0.27%
ELECTORS :,74048 VOTERS  :,50772,POLL PERCENTAGE  :,68.57%,VALID VOTES,49927
Constituency,29 KILOI,,,,,
1 .,HARI CHAND,,M,LKD,19793,41.76%
2 .,BHUPINDER SINGH,,M,INC,15240,32.16%
3 .,SHERO NATH,,M,IND,8680,18.32%
4 .,RAJINDER SINGH,,M,IND,2436,5.14%
5 .,DHARAM VIR,,M,JNP,579,1.22%
6 .,MAHA SINGH,,M,IND,303,0.64%
7 .,DHARAM PAL,,M,IND,236,0.50%
8 .,SATBIR SINGH,,M,IND,125,0.26%
No.,CANDIDATE,,SEX,PARTY,VOTES,%
ELECTORS :,70164 VOTERS  : 48089,,POLL PERCENTAGE  :,68.54%,VALID VOTES,47392
Constituency,30 ROHTAK,,,,,
1 .,MANGAL SAIN,,M,BJP,19749,31.52%
2 .,SAT RAM DASS,,M,INC,19369,30.91%
3 .,HARI MOHAN,,M,IND,15654,24.98%
4 .,HAWA SINGH,,M,IND,3859,6.16%
5 .,PARMANAND TULI,,M,JNP,1192,1.90%
6 .,RAJ PAL S/O SULTAN SINGH,,M,IND,1096,1.75%
7 .,DARYAO SINGH,,M,IND,265,0.42%
8 .,DHAN SINGH,,M,IND,253,0.40%
9 .,OM PARKASH S/O AMAR SINGH,,M,IND,237,0.38%
10 .,SHYAM SUNDER,,M,IND,147,0.23%
11 .,RAMESH CHANDER,,M,IND,116,0.19%
12 .,JANAK RAJ,,M,IND,112,0.18%
13 .,ISHWAR DASS,,M,IND,82,0.13%
14 .,SATINDER KUMAR,,M,IND,74,0.12%
15 .,BHAGWAN DASS,,M,IND,65,0.10%
16 .,GURDIAL SINGH,,M,IND,57,0.09%
17 .,RAJ PAL S/O DIWAN SINGH,,M,IND,54,0.09%
18 .,VIJAY,,M,IND,50,0.08%
19 .,DILBAGH SINGH,,M,IND,46,0.07%
20 .,KARAM NARAIN,,M,IND,40,0.06%
21 .,MUKAND LAL,,M,IND,40,0.06%
22 .,OM PARKASH S/O BARU RAM,,M,IND,39,0.06%
23 .,VISHAMBAR NATH,,M,IND,37,0.06%
24 .,DAVINDER KUMAR,,M,IND,27,0.04%
ELECTORS :,88104 VOTERS  : 63497,,POLL PERCENTAGE  :,72.07%,VALID VOTES,62660
Constituency,31 MEHAM,,,,,
1 .,DEVI LAL,,M,LKD,36324,62.87%
2 .,HAR SARUP,,M,INC,19649,34.01%
3 .,PARAS RAM,,M,IND,393,0.68%
4 .,HARKE RAM,,M,IND,286,0.49%
5 .,CHANDER,,M,IND,248,0.43%
6 .,MAN MOHAN,,M,JNP,239,0.41%
7 .,RAGHUBIR,,M,IND,193,0.33%
8 .,JAI PAL,,M,IND,170,0.29%
9 .,RAM CHANDER,,M,IND,113,0.20%
10 .,JAI PAL ARYA,,M,IND,98,0.17%
11 .,MAHA SINGH,,M,IND,66,0.11%
ELECTORS :,83936 VOTERS  : 58596,,POLL PERCENTAGE  :,69.81%,VALID VOTES,57779
Constituency,32 KALANAUR (SC),,,,,
1 .,KARTAR DEVI,,F,INC,25060,58.73%
2 .,JAI NARAIN,,M,BJP,15531,36.40%
3 .,LABH SINGH,,M,IND,450,1.05%
4 .,KEHAR SINGH,,M,IND,426,1.00%
5 .,SURAJ BHAN S/O CHANDGI,,M,JNP,395,0.93%
6 .,SURAJ BHAN S/O SUNDU,,M,IND,176,0.41%
7 .,RAJ KUMAR,,M,IND,155,0.36%
No.,CANDIDATE,,SEX,PARTY,VOTES,%
8 .,DAYA NAND,,M,IND,132,0.31%
9 .,RAM KUNWAR,,M,IND,126,0.30%
10 .,SAT NARAIN,,M,IND,111,0.26%
11 .,HARDOOL SINGH,,M,IND,108,0.25%
ELECTORS :,70025 VOTERS  :,43312,POLL PERCENTAGE  :,61.85%,VALID VOTES,42670
Constituency,33 BERI,,,,,
1 .,OM PARKASH,,M,LKD,27536,57.74%
2 .,DALIP SINGH,,M,INC,15347,32.18%
3 .,PARTAP SINGH DOULTA,,M,IND,2348,4.92%
4 .,MAHINDER SINGH,,M,IND,1308,2.74%
5 .,SAT PARKASH,,M,IND,454,0.95%
6 .,RAN SINGH,,M,JNP,367,0.77%
7 .,SURAJ BHAN,,M,IND,176,0.37%
8 .,MANGE RAM,,M,IND,155,0.33%
ELECTORS :,74933 VOTERS  :,48331,POLL PERCENTAGE  :,64.50%,VALID VOTES,47691
Constituency,34 SALHAWAS,,,,,
1 .,HUKAM SINGH,,M,IND,15746,31.92%
2 .,RAM NARAIN,,M,IND,14551,29.50%
3 .,RAI SINGH YADAV,,M,INC,12554,25.45%
4 .,JORAWAR SINGH,,M,LKD,2891,5.86%
5 .,HARI RAM ARYA,,M,IND,1329,2.69%
6 .,BALWANT,,M,IND,924,1.87%
7 .,CHATTRU,,M,IND,554,1.12%
8 .,DHARM PAL SAFEDI WALA,,M,IND,391,0.79%
9 .,RAM KARAN SHARMA,,M,IND,204,0.41%
10 .,RAM KISHAN GAUR,,M,IND,113,0.23%
11 .,RAM CHANDER JANDRA,,M,IND,71,0.14%
ELECTORS :,78322 VOTERS  :,50370,POLL PERCENTAGE  :,64.31%,VALID VOTES,49328
Constituency,35 JHAJJAR (SC),,,,,
1 .,BANARSI DASS,,M,LKD,24163,53.61%
2 .,MANGE RAM,,M,INC,15622,34.66%
3 .,RAM NIWAS,,M,IND,1961,4.35%
4 .,RAM PARSHAD BALMIKI,,M,JNP,1208,2.68%
5 .,PAIRE LAL KATARIA,,M,IND,929,2.06%
6 .,MAHABIR SINGH,,M,IND,510,1.13%
7 .,PHOOL CHAND,,M,IND,341,0.76%
8 .,KEHAR SINGH,,M,IND,183,0.41%
9 .,RAJ KUMAR,,M,IND,153,0.34%
ELECTORS :,81960 VOTERS  :,45773,POLL PERCENTAGE  :,55.85%,VALID VOTES,45070
Constituency,36 BADLI,,,,,
1 .,DHIRPAL SINGH,,M,LKD,30193,63.17%
2 .,MANPHOOL SINGH,,M,INC,15370,32.15%
3 .,RAM KUMAR GOEL,,M,IND,1083,2.27%
4 .,BHAJAN LAL,,M,IND,375,0.78%
5 .,AMAR SINGH,,M,IND,295,0.62%
6 .,PRIYAVART,,M,IND,236,0.49%
7 .,BALWAN,,M,IND,161,0.34%
8,,,,,,
No.,CANDIDATE,,SEX,PARTY,VOTES,%
8 .,RAMESH,,M,ICS,87,0.18%
ELECTORS :,73178 VOTERS  : 48340,,POLL PERCENTAGE  :,66.06%,VALID VOTES,47800
Constituency,37 BAHADURGARH,,,,,
1 .,MANGE RAM S/O DARYAO SINGH,,M,LKD,29668,50.65%
2 .,PRIYA VART,,M,INC,19477,33.25%
3 .,MANGE RAM S/O HAZARI LAL,,M,IND,4630,7.90%
4 .,SURAJ BHAN,,M,IND,2898,4.95%
5 .,RAMESH KUMAR,,M,IND,331,0.57%
6 .,KRISHAN,,M,ICS,311,0.53%
7 .,MAN MOHAN,,M,IND,310,0.53%
8 .,RATAN SINGH,,M,IND,178,0.30%
9 .,CHAND ROOP,,M,IND,140,0.24%
10 .,SUBASH CHANDER,,M,IND,137,0.23%
11 .,MIR SINGH,,M,IND,109,0.19%
12 .,BAKHTAWAR,,M,IND,107,0.18%
13 .,RAM KUMAR GOEL,,M,IND,103,0.18%
14 .,NAFE SINGH,,M,IND,87,0.15%
15 .,HARDWARI LAL,,M,IND,61,0.10%
16 .,JAI PAL SINGH,,M,IND,24,0.04%
ELECTORS :,89633 VOTERS  : 59370,,POLL PERCENTAGE  :,66.24%,VALID VOTES,58571
Constituency,38 BARODA (SC),,,,,
1 .,BHALE RAM,,M,LKD,36159,64.94%
2 .,SARDARA,,M,INC,17612,31.63%
3 .,LAKHMI,,M,IND,520,0.93%
4 .,TARA CHAND,,M,IND,405,0.73%
5 .,TARA,,M,IND,370,0.66%
6 .,RAMJI LAL,,M,IND,313,0.56%
7 .,JAGJIWAN,,M,IND,304,0.55%
ELECTORS :,78839 VOTERS  : 56580,,POLL PERCENTAGE  :,71.77%,VALID VOTES,55683
Constituency,39 GOHANA,,,,,
1 .,KITAB SINGH,,M,LKD,32372,51.30%
2 .,RAMDHARI GAUR,,M,INC,24940,39.52%
3 .,SHRI CHAND,,M,IND,4753,7.53%
4 .,RAMESHWAR,,M,IND,531,0.84%
5 .,SUNHARA,,M,IND,267,0.42%
6 .,OM PARKASH,,M,IND,242,0.38%
ELECTORS :,86157 VOTERS  : 64099,,POLL PERCENTAGE  :,74.40%,VALID VOTES,63105
Constituency,40 KAILANA,,,,,
1 .,RAJINDER SINGH,,M,IND,19395,34.19%
2 .,CHANDER SINGH,,M,LKD,16577,29.22%
3 .,JAGDEEP SINGH,,M,INC,15686,27.65%
4 .,NANAK GIR,,M,CPI,1954,3.44%
5 .,MOJI RAM,,M,IND,1431,2.52%
6 .,RAM KANWAR,,M,IND,530,0.93%
7 .,SUBASH,,M,IND,429,0.76%
8 .,RANDHIR,,M,IND,241,0.42%
9 .,FATEH SINGH,,M,IND,178,0.31%
10,,,,,,
No.,CANDIDATE,,SEX,PARTY,VOTES,%
10 .,KANWAL SINGH BEDHARK,,M,IND,99,0.17%
11 .,RAM KISHAN,,M,IND,85,0.15%
12 .,BALBIR SINGH,,M,IND,61,0.11%
13 .,MAHINDER SINGH,,M,IND,58,0.10%
ELECTORS :,80416 VOTERS  : 58083,,POLL PERCENTAGE  :,72.23%,VALID VOTES,56724
Constituency,41 SONEPAT,,,,,
1 .,DEVI DASS,,M,BJP,24890,45.84%
2 .,MOHAN LAL,,M,INC,16813,30.97%
3 .,SHARDA NAND SOLANKI,,M,CPM,5752,10.59%
4 .,SUMER CHAND,,M,IND,3576,6.59%
5 .,KALU RAM,,M,IND,712,1.31%
6 .,SUBASH,,M,IND,658,1.21%
7 .,JITENDER KUMAR,,M,JNP,634,1.17%
8 .,RAM KUMAR,,M,IND,373,0.69%
9 .,SAT PAL,,M,IND,199,0.37%
10 .,MUKTIAR SINGH,,M,IND,169,0.31%
11 .,HAR GOBIND SINGH,,M,IND,158,0.29%
12 .,SURAJ PARKASH,,M,IND,143,0.26%
13 .,PARKASH,,M,IND,99,0.18%
14 .,PREM CHAND,,M,IND,79,0.15%
15 .,OM PARKASH,,M,IND,41,0.08%
ELECTORS :,82223 VOTERS  : 55289,,POLL PERCENTAGE  :,67.24%,VALID VOTES,54296
Constituency,42 RAI,,,,,
1 .,JASWANT SINGH,,M,INC,27542,50.36%
2 .,MAHA SINGH,,M,IND,24515,44.83%
3 .,ZILE SINGH,,M,JNP,1124,2.06%
4 .,SOPAT RAI BODH,,M,IND,453,0.83%
5 .,RAJENDRA,,M,LKD,429,0.78%
6 .,BANWARI,,M,IND,327,0.60%
7 .,MANGLI RAM,,M,IND,295,0.54%
ELECTORS :,81652 VOTERS  : 55545,,POLL PERCENTAGE  :,68.03%,VALID VOTES,54685
Constituency,43 ROHAT,,,,,
1 .,BHIM SINGH,,M,LKD,28952,56.17%
2 .,SHANTI DEVI,,F,INC,17971,34.86%
3 .,KANWAR SINGH,,M,IND,3037,5.89%
4 .,DALEL SINGH,,M,IND,679,1.32%
5 .,NATHU RAM,,M,IND,324,0.63%
6 .,MAHENDER KAUR,,F,IND,308,0.60%
7 .,CHANDER,,M,IND,140,0.27%
8 .,VINOD,,M,IND,137,0.27%
ELECTORS :,77224 VOTERS  : 52219,,POLL PERCENTAGE  :,67.62%,VALID VOTES,51548
Constituency,44 KALAYAT (SC),,,,,
1 .,JOGI RAM,,M,LKD,27228,56.94%
2 .,BALDEVA,,M,INC,16760,35.05%
