CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
7 13 GEETA SHARMA,,F 37 GEN RGD,245 0,245,0.21
,TOTAL:,116039 23,116062,81.88
Turn Out,,,,,
Constituency 4. Ambala Cantt.,,,TOTAL ELECTORS :,147434,
1 1 ANIL VIJ,,M 56 GEN BJP,49214 5,49219,49.21
3 2 NIRMAL SINGH,,M 56 GEN INC,42876 5,42881,42.87
4 3 PARVEEN CHAUHAN,,M 34 GEN BSP,3065 0,3065,3.06
5 4 DR. K.D. SHARMA,,M 58 GEN INLD,2189 0,2189,2.19
11 5 SEWA SINGH,,M 58 GEN IND,878 0,878,0.88
2 6 GULJAR SINGH,,M 33 SC NCP,402 0,402,0.40
9 7 JARNAIL SINGH,,M 47 GEN IND,364 0,364,0.36
10 8 VIPUL JAIN,,M 25 GEN IND,344 0,344,0.34
6 9 SUCHA SINGH,,M 38 GEN HJCBL,297 0,297,0.30
7 10 ANIL KISHORE,,M 44 SC IND,270 0,270,0.27
8 11 AMRIK SINGH,,M 56 GEN IND,109 0,109,0.11
,TOTAL:,100008 10,100018,67.84
Turn Out,,,,,
Constituency 5. Ambala City,,,TOTAL ELECTORS :,187813,
3 1 VENOD SHARMA,,M 61 GEN INC,69429 6,69435,52.77
6 2 BIBI CHARANJEET KAUR,,F 44 GEN SAD,33878 7,33885,25.75
MALLOUR,,,,,
4 3 DR.SANJAY SHARMA,,M 44 GEN BJP,12737 4,12741,9.68
2 4 MAKHAN SINGH,,M 49 GEN BSP,10719 0,10719,8.15
1 5 PURAN PARKASH,,M 44 GEN HJCBL,2736 0,2736,2.08
7 6 MEHAR CHAND NAGRA,,M 54 SC IND,691 0,691,0.53
9 7 VIRENDER,,M 30 GEN IND,502 0,502,0.38
5 8 UMRAO SINGH,,M 46 GEN RLD,454 0,454,0.35
8 9 RAJNEESH KUMAR,,M 29 GEN IND,406 0,406,0.31
,TOTAL:,131552 17,131569,70.05
Turn Out,,,,,
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
Constituency 6. Mulana,,(SC),TOTAL ELECTORS :,167513,
5 1 RAJBIR SINGH BARARA,,M 42 SC INLD,47183 2,47185,36.37
3 2 PHOOL CHAND MULLANA,,M 68 SC INC,44245 3,44248,34.11
2 3 PARKASH RAM BHARTI,,M 42 SC BSP,28113 0,28113,21.67
4 4 MANGE RAM PANJAIL,,M 52 SC BJP,4948 6,4954,3.82
1 5 AMAR NATH,,M 53 SC HJCBL,2173 0,2173,1.68
10 6 DHARAM PAL BIHANA,,M 37 SC IND,748 0,748,0.58
9 7 GIAN CHAND,,M 56 SC IND,734 0,734,0.57
8 8 RAJESH KUMAR S/O,,M 33 SC SMBHP,559 0,559,0.43
NIRANJAN DASS,,,,,
6 9 RAJESH KUMAR S/O OM,,M 27 SC NCP,509 1,510,0.39
PARKASH,,,,,
7 10 KRISHAN CHAND,,M 51 SC BRPP,506 0,506,0.39
,TOTAL:,129718 12,129730,77.44
Turn Out,,,,,
Constituency 7. Sadhaura,,(SC),TOTAL ELECTORS :,165132,
5 1 RAJPAL,,M 38 SC INC,47245 18,47263,35.58
3 2 BALWANT SINGH,,M 59 SC INLD,38637 13,38650,29.09
4 3 RAVI BHUSHAN,,M 41 SC BSP,24178 5,24183,18.20
11 4 LAL CHAND,,M 38 SC IND,10789 0,10789,8.12
2 5 DATA RAM,,M 46 SC BJP,4495 1,4496,3.38
10 6 DEEP CHAND,,M 58 SC IND,2058 0,2058,1.55
1 7 ARUN KUMAR,,M 37 SC CPI,1653 0,1653,1.24
7 8 SHER SINGH,,M 44 SC HJCBL,1360 1,1361,1.02
9 9 RAJ BHUSHAN,,M 45 SC SP,1196 0,1196,0.90
6 10 VINAY KUMAR,,M 47 SC NCP,771 1,772,0.58
8 11 MAHIPAL,,M 30 SC SMBHP,433 0,433,0.33
,TOTAL:,132815 39,132854,80.45
Turn Out,,,,,
Constituency 8. Jagadhri,,,TOTAL ELECTORS :,158037,
1 1 AKRAM KHAN,,M 39 GEN BSP,39860 8,39868,30.86
5 2 SUBHASH CHAND,,M 61 GEN INC,35516 24,35540,27.51
2 3 KANWAR PAL,,M 48 GEN BJP,31630 27,31657,24.51
3 4 RAJIV KUMAR,,M 53 GEN INLD,18423 2,18425,14.26
8 5 JAI CHAND CHAUHAN,,M 62 GEN IND,1509 0,1509,1.17
7 6 HARPREET SINGH,,M 26 GEN SP,882 0,882,0.68
4 7 SUDESH RANI,,F 47 GEN NCP,758 0,758,0.59
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
6 8 PARMOD SHARMA,,M 52 GEN SMBHP,533 0,533,0.41
,TOTAL:,129111 61,129172,81.74
Turn Out,,,,,
Constituency 9. Yamunanagar,,,TOTAL ELECTORS :,153439,
2 1 DILBAGH SINGH,,M 38 GEN INLD,46963 21,46984,41.62
3 2 DEVINDER CHAWLA,,M 52 GEN INC,33398 13,33411,29.59
1 3 GHANSHYAM DASS,,M 58 GEN BJP,15524 2,15526,13.75
5 4 ROSHAN LAL,,M 48 GEN BSP,9700 2,9702,8.59
6 5 SHUSHIL KUMAR,,M 51 GEN HJCBL,1629 2,1631,1.44
7 6 HARJINDER SINGH,,M 49 GEN RJD,1514 0,1514,1.34
15 7 SURESH PAL,,M 40 GEN IND,1007 0,1007,0.89
9 8 JARIB HASSAN,,M 42 GEN IND,619 0,619,0.55
14 9 SATISH KUMAR,,M 37 GEN IND,534 0,534,0.47
12 10 BABU LAL,,M 38 GEN IND,457 0,457,0.40
4 11 DHARAM SINGH,,M 57 GEN NCP,408 0,408,0.36
13 12 RAM MURTI,,M 63 GEN IND,361 0,361,0.32
8 13 SHYAM SUNDER,,M 58 GEN SMBHP,343 0,343,0.30
11 14 BALWINDER SINGH,,M 34 GEN IND,245 0,245,0.22
10 15 NARESH KUMAR,,M 35 GEN IND,157 0,157,0.14
,TOTAL:,112859 40,112899,73.58
Turn Out,,,,,
Constituency 10. Radaur,,,TOTAL ELECTORS :,146594,
3 1 DR.BISHAN LAL SAINI,,M 55 GEN INLD,29588 5,29593,25.71
6 2 SURESH KUMAR,,M 39 GEN INC,25191 7,25198,21.89
1 3 ASHWANI KUMAR,,M 49 GEN BSP,16696 2,16698,14.51
5 4 SHAM SINGH,,M 61 GEN BJP,13654 3,13657,11.87
9 5 RANDHIR SINGH,,M 44 GEN IND,7090 0,7090,6.16
4 6 MAM RAJ,,M 68 GEN HJCBL,6088 5,6093,5.29
15 7 HARISH CHANDER,,M 52 GEN IND,5595 2,5597,4.86
14 8 SATISH KUMAR,,M 34 GEN IND,3506 1,3507,3.05
8 9 DAYA NAND,,M 47 GEN IND,2932 0,2932,2.55
7 10 RISHI PAL,,M 49 GEN IND,1970 0,1970,1.71
13 11 SANJEEV KUMAR,,M 27 SC IND,688 0,688,0.60
12 12 SHIV RAM,,M 44 SC IND,679 0,679,0.59
11 13 ROOPVATI,,F 53 SC IND,615 0,615,0.53
10 14 RAHUL SINGLA,,M 26 GEN IND,429 0,429,0.37
2 15 BALVINDER SINGH,,M 44 GEN NCP,352 0,352,0.31
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
,TOTAL:,115073 25,115098,78.51
Turn Out,,,,,
Constituency 11. Ladwa,,,TOTAL ELECTORS :,138172,
6 1 SHER SINGH BARSHAMI,,M 59 GEN INLD,32421 84,32505,28.93
1 2 KAILASHO SAINI,,F 47 GEN INC,29989 11,30000,26.70
4 3 MEWA SINGH,,M 50 GEN BJP,21766 9,21775,19.38
10 4 PAWAN GARG,,M 52 GEN IND,15078 3,15081,13.42
5 5 SHASHI SAINI,,F 49 GEN BSP,9615 2,9617,8.56
11 6 SANJEEV KUMAR,,M 39 GEN IND,887 0,887,0.79
7 7 RAMESHWAR,,M 45 GEN SMBHP,756 0,756,0.67
3 8 DARSHAN SINGH SARASWATI,,M 53 GEN HJCBL,628 0,628,0.56
9 9 DEVENDER,,M 28 GEN IND,365 0,365,0.32
8 10 JAI BHAGWAN,,M 48 GEN IND,293 0,293,0.26
12 11 SHARWAN KUMAR,,M 44 GEN IND,230 0,230,0.20
2 12 JOGINDER SINGH,,M 45 GEN NCP,224 0,224,0.20
,TOTAL:,112252 109,112361,81.32
Turn Out,,,,,
Constituency 12. Shahbad,(SC),,TOTAL ELECTORS :,124883,
1 1 ANIL DHANTORI,,M 34 SC INC,30835 8,30843,33.24
3 2 JITENDER KUMAR,,M 45 SC INLD,27089 13,27102,29.21
10 3 RAM KARAN,,M 40 SC IND,14350 2,14352,15.47
2 4 KRISHAN KUMAR,,M 45 SC BJP,10592 1,10593,11.42
4 5 DR. BALDEV SINGH,,M 37 SC BSP,6385 2,6387,6.88
6 6 SURAJ BHAN,,M 29 SC HJCBL,1012 0,1012,1.09
5 7 SARUP CHAND,,M 60 SC CPI,934 0,934,1.01
8 8 KARAM SINGH,,M 46 SC IND,867 0,867,0.93
9 9 DEVI DAYAL BHATTI,,M 38 SC IND,424 0,424,0.46
7 10 RAJESH KUMAR,,M 30 SC BSP(K),272 0,272,0.29
,TOTAL:,92760 26,92786,74.30
Turn Out,,,,,
Constituency 13. Thanesar,,,TOTAL ELECTORS :,122244,
1 1 ASHOK KUMAR ARORA,,M 50 GEN INLD,29479 37,29516,32.87
5 2 RAMESH GUPTA,,M 58 GEN INC,21200 31,21231,23.64
13 3 SUBHASH SUDHA,,M 45 GEN IND,16994 31,17025,18.96
4 4 BALKAR SINGH,,M 50 GEN HJCBL,12264 59,12323,13.72
3 5 DEVENDRA SHARMA,,M 58 GEN BSP,4333 6,4339,4.83
2 6 KRISHAN BAJAJ,,M 58 GEN BJP,3435 2,3437,3.83
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
9 7 RAMESH KUMAR,,M 33 GEN IND,606 0,606,0.67
12 8 VISHNU BHAGWAN,,M 61 GEN IND,437 0,437,0.49
AGGARWAL,,,,,
11 9 VIJAY KUMAR,,M 38 GEN IND,296 0,296,0.33
10 10 LAKHVINDER SINGH,,M 48 GEN IND,212 0,212,0.24
6 11 BABU RAM TAYA,,M 40 GEN ES,192 0,192,0.21
8 12 KAMLESH KUMARI,,F 43 GEN IND,126 1,127,0.14
7 13 ATAM PARKASH,,M 53 GEN IND,51 0,51,0.06
,TOTAL:,89625 167,89792,73.45
Turn Out,,,,,
Constituency 14. Pehowa,,,TOTAL ELECTORS :,134786,
5 1 HARMOHINDER SINGH,,M 74 GEN INC,35421 8,35429,33.24
1 2 JASWINDER SINGH,,M 54 GEN INLD,31338 11,31349,29.41
3 3 BALBIR SINGH SAINI,,M 58 GEN BJP,19258 2,19260,18.07
8 4 RAJINDER KUMAR,,M 37 GEN IND,6607 4,6611,6.20
2 5 BALDEV SINGH,,M 54 GEN HJCBL,6022 2,6024,5.65
4 6 RAVINDER SINGH,,M 37 GEN BSP,2974 0,2974,2.79
10 7 SHAMSHER SINGH,,M 52 GEN IND,2252 0,2252,2.11
7 8 BALWINDER SINGH,,M 34 GEN IND,1499 0,1499,1.41
6 9 RAGHBIR CHAND,,M 48 SC LJP,656 0,656,0.62
9 10 RAJESH PURI,,M 45 GEN IND,536 0,536,0.50
,TOTAL:,106563 27,106590,79.08
Turn Out,,,,,
Constituency 15. Guhla,(SC),,TOTAL ELECTORS :,143929,
4 1 PHOOL SINGH,,M 37 SC INLD,37004 12,37016,33.43
2 2 DILLU RAM S/O FAUJA RAM,,M 64 SC INC,31725 38,31763,28.69
8 3 KULWANT,,M 27 SC IND,20925 1,20926,18.90
3 4 NARESH KUMAR,,M 33 SC HJCBL,13540 17,13557,12.24
6 5 RAM KUMAR,,M 40 SC BSP,2987 0,2987,2.70
1 6 GHANSHYAM,,M 40 SC BJP,1530 2,1532,1.38
5 7 RANDHIR SINGH SATHI,,M 57 SC CPM,976 0,976,0.88
10 8 RAMESH KUMAR,,M 31 SC IND,943 0,943,0.85
9 9 DILLU RAM S/O SANT RAM,,M 25 SC IND,575 0,575,0.52
7 10 ROSHAN,,M 35 SC NCP,445 0,445,0.40
,TOTAL:,110650 70,110720,76.93
Turn Out,,,,,
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
4 1 RAMPAL MAJRA,,M 54 GEN INLD,55497 117,55614,43.18
1 2 TEJENDER PAL SINGH,,M 68 GEN INC,46141 73,46214,35.88
3 3 RAMESH,,M 29 GEN BSP,11974 0,11974,9.30
5 4 VINOD,,M 42 GEN HJCBL,9017 4,9021,7.00
2 5 NAR SINGH DHANDA,,M 63 GEN BJP,1966 0,1966,1.53
12 6 SUBE SINGH,,M 40 GEN IND,1377 0,1377,1.07
8 7 TARSEM,,M 26 GEN IND,959 0,959,0.74
9 8 RANDHIR,,M 39 GEN IND,369 0,369,0.29
6 9 BALDEV RAJ,,M 36 SC BSP(K),358 0,358,0.28
10 10 RAM KUMAR,,M 50 GEN IND,340 0,340,0.26
11 11 RAM SINGH,,M 45 GEN IND,308 0,308,0.24
7 12 ANU,,F 31 GEN IND,297 0,297,0.23
,TOTAL:,128603 194,128797,79.03
Turn Out,,,,,
Constituency 17. Kaithal,,,TOTAL ELECTORS :,150744,
2 1 RANDEEP SINGH,,M 42 GEN INC,59732 157,59889,51.30
SURJEWALA,,,,,
1 2 KAILASH BHAGAT,,M 55 GEN INLD,37321 66,37387,32.03
6 3 SURESH KUMAR,,M 47 GEN BSP,13967 0,13967,11.96
3 4 RAVI BHUSHAN GARG,,M 51 GEN BJP,1649 0,1649,1.41
14 5 SHAMSHER SINGH KASHYAP,,M 33 GEN IND,973 0,973,0.83
13 6 NARESH KUMAR,,M 26 GEN IND,590 0,590,0.51
10 7 ARYA NARESH TANWAR,,M 38 GEN RARS,543 0,543,0.47
5 8 SURENDER MADAN,,M 57 GEN HJCBL,337 0,337,0.29
4 9 VIRBHAN,,M 40 GEN NCP,328 0,328,0.28
9 10 RISHI PAL MALIK,,M 38 GEN SMBHP,299 0,299,0.26
11 11 BALI CHOUHAN,,M 40 GEN BSP(K),240 0,240,0.21
8 12 DR. ASHWANI SHARMA,,M 45 GEN ES,209 0,209,0.18
HARITWAL,,,,,
12 13 GURDUTT,,M 32 GEN IND,186 0,186,0.16
7 14 AMRIT LAL,,M 52 SC RSKP,139 0,139,0.12
,TOTAL:,116513 223,116736,77.44
Turn Out,,,,,
Constituency 18. Pundri,,,TOTAL ELECTORS :,146691,
19 1 SULTAN,,M 48 GEN IND,38828 101,38929,31.71
3 2 DINESH KAUSHIK,,M 49 GEN INC,34776 102,34878,28.41
6 3 SAJJAN SINGH,,M 60 GEN INLD,23642 48,23690,19.30
4 4 NARENDER SHARMA,,M 42 GEN BSP,17194 33,17227,14.03
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
1 5 KANWAR PAL SHARMA,,M 34 GEN HJCBL,2686 0,2686,2.19
2 6 KRISHAN GUJJAR,,M 55 GEN BJP,1906 0,1906,1.55
10 7 GOPAL KRISHAN BHATT,,M 40 GEN IND,1007 0,1007,0.82
14 8 COMRADE RAJ KUMAR,,M 55 GEN IND,376 0,376,0.31
5 9 PIRTHI SINGH MEHLA,,M 43 GEN NCP,301 0,301,0.25
20 10 HITENDER,,M 33 GEN IND,283 0,283,0.23
18 11 SATYA PARKASH,,M 47 GEN IND,224 0,224,0.18
7 12 RAMESHWAR DASS,,M 44 GEN BSP(K),208 0,208,0.17
16 13 RAM CHANDER,,M 39 GEN IND,203 0,203,0.17
8 14 ROSHAN MEHRA,,M 38 SC UKSP,181 0,181,0.15
13 15 BAL RAM,,M 29 GEN IND,172 0,172,0.14
12 16 TEJVIR SINGH,,M 39 GEN IND,124 0,124,0.10
17 17 RAM PAL,,M 53 GEN IND,107 0,107,0.09
9 18 KAMLA,,F 77 GEN IND,98 0,98,0.08
15 19 RAJESH VERMA,,M 29 GEN IND,91 0,91,0.07
11 20 JEETA RAM,,M 55 GEN IND,61 0,61,0.05
,TOTAL:,122468 284,122752,83.68
Turn Out,,,,,
Constituency 19. Nilokheri,,(SC),TOTAL ELECTORS :,156170,
4 1 MAMU RAM,,M 62 SC INLD,46979 22,47001,44.51
5 2 MEENA RANI,,F 44 SC INC,30255 23,30278,28.67
9 3 GIAN CHAND,,M 56 SC IND,7112 3,7115,6.74
6 4 SHER SINGH,,M 54 SC BSP,5898 2,5900,5.59
2 5 DHARAM PAL,,M 52 SC BJP,4789 4,4793,4.54
8 6 JAI SINGH ARJAHERI,,M 61 SC ES,3994 0,3994,3.78
11 7 BHAGWAN DASS,,M 40 SC IND,2308 0,2308,2.19
1 8 GEETA,,F 39 SC HJCBL,1916 0,1916,1.81
14 9 LAKHMI CHAND,,M 64 SC IND,597 0,597,0.57
3 10 PREM SINGH,,M 66 SC NCP,510 0,510,0.48
12 11 MADAN LAL,,M 41 SC IND,409 0,409,0.39
7 12 KARAM PAL,,M 33 SC BSP(K),378 0,378,0.36
10 13 PUNJAB SINGH,,M 40 SC IND,231 0,231,0.22
13 14 RANBIR SINGH,,M 51 SC IND,165 0,165,0.16
,TOTAL:,105541 54,105595,67.62
Turn Out,,,,,
Constituency 20. Indri,,,TOTAL ELECTORS :,147068,
1 1 ASHOK KASHYAP,,M 42 GEN INLD,36845 41,36886,33.05
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
4 2 BHIM SAIN MEHTA,,M 49 GEN INC,27738 51,27789,24.90
5 3 RAKESH,,M 43 GEN HJCBL,26088 65,26153,23.43
7 4 SUNIL KUMAR,,M 40 GEN BSP,7567 2,7569,6.78
13 5 MOHINDER PANJOKHARA,,M 37 GEN IND,5216 1,5217,4.67
3 6 DHARAMPAL SANDILAY,,M 54 GEN BJP,2764 1,2765,2.48
6 7 VED PAL,,M 70 GEN NCP,1968 0,1968,1.76
2 8 JILA SINGH,,M 49 GEN CPI,803 0,803,0.72
12 9 KAWAR PAL,,M 37 GEN IND,556 0,556,0.50
16 10 SANJEEV KUMAR,,M 43 GEN IND,539 0,539,0.48
8 11 ARYA SUNIL KAMBOJ,,M 32 GEN RARS,270 0,270,0.24
10 12 MAI LAL KASHYAP,,M 49 GEN ES,270 0,270,0.24
11 13 ASHOK KUMAR,,M 42 SC IND,260 0,260,0.23
9 14 NATHI RAM,,M 40 SC SMBHP,256 0,256,0.23
15 15 RAMPHAL,,M 33 GEN IND,178 0,178,0.16
14 16 RAMESH KUMAR SHARMA,,M 37 GEN IND,143 0,143,0.13
,TOTAL:,111461 161,111622,75.90
Turn Out,,,,,
Constituency 21. Karnal,,,TOTAL ELECTORS :,158695,
5 1 SUMITA SINGH,,F 50 GEN INC,35794 100,35894,35.45
3 2 JAI PARKASH,,M 68 GEN HJCBL,32063 100,32163,31.76
2 3 CHANDER PARKASH,,M 40 GEN BJP,14873 10,14883,14.70
KATHURIA,,,,,
4 4 BALVINDER SINGH KALRA,,M 45 GEN BSP,11119 9,11128,10.99
1 5 ASHOK,,M 48 GEN INLD,3929 3,3932,3.88
11 6 SUSHIL KUMAR,,M 51 GEN IND,884 0,884,0.87
7 7 ANAND PARKASH,,M 45 GEN IND,680 0,680,0.67
8 8 NARENDER SAROHA,,M 34 GEN IND,525 0,525,0.52
9 9 PUNIT,,M 27 GEN IND,453 0,453,0.45
10 10 MULAKH RAJ,,M 46 GEN IND,385 0,385,0.38
6 11 LAL SINGH,,M 48 GEN BSP(K),331 0,331,0.33
,TOTAL:,101036 222,101258,63.81
Turn Out,,,,,
Constituency 22. Gharaunda,,,TOTAL ELECTORS :,159059,
3 1 NARENDER SANGWAN,,M 40 GEN INLD,35216 40,35256,29.44
5 2 VARINDER SINGH RATHORE,,M 44 GEN INC,33543 53,33596,28.05
6 3 HARVINDER KALYAN,,M 42 GEN BSP,29223 9,29232,24.41
1 4 JAI PAL SHARMA,,M 59 GEN BJP,7516 7,7523,6.28
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
11 5 KRISHAN SHARMA BASTARA,,M 39 GEN IND,3545 4,3549,2.96
10 6 KARAN SINGH,,M 53 GEN IND,3233 0,3233,2.70
14 7 RAM SINGH,,M 52 GEN IND,3158 0,3158,2.64
15 8 SUBHASH KHURANA,,M 45 GEN IND,1533 0,1533,1.28
2 9 DHARAMPAL RANA,,M 49 GEN HJCBL,838 0,838,0.70
4 10 FATEH SINGH,,M 43 GEN NCP,434 0,434,0.36
13 11 NARENDER SAROHA,,M 34 GEN IND,391 0,391,0.33
7 12 DILBAG ARYA,,M 33 GEN RARS,353 0,353,0.29
12 13 JAFARDIN,,M 64 GEN IND,315 0,315,0.26
8 14 MAHENDER SINGH,,M 40 SC SMBHP,233 0,233,0.19
9 15 RAJBIR SINGH CHAUHAN,,M 61 GEN AIRP,122 0,122,0.10
,TOTAL:,119653 113,119766,75.30
Turn Out,,,,,
Constituency 23. Assandh,,,TOTAL ELECTORS :,170814,
2 1 PT. ZILE RAM CHOCHRA,,M 52 GEN HJCBL,20258 8,20266,15.80
15 2 RAGHBIR SINGH VIRK,,M 66 GEN IND,16723 3,16726,13.04
14 3 YASH PAL SINGH RANA,,M 54 GEN IND,15684 1,15685,12.23
4 4 BHAI BAKHSHISH SINGH VIRK,,M 52 GEN BJP,15543 3,15546,12.12
6 5 RAMESH KUMAR,,M 46 GEN INC,15199 9,15208,11.86
CHOUDHARY,,,,,
8 6 MARATHA VIRENDER VERMA,,M 58 GEN ES,14103 1,14104,11.00
3 7 PREM SINGH,,M 40 GEN INLD,14002 24,14026,10.94
1 8 ANIL RANA,,M 46 GEN BSP,13343 0,13343,10.40
16 9 RAMPHAL SHARMA,,M 54 GEN IND,832 0,832,0.65
5 10 BALJIT SINGH,,M 66 GEN CPM,784 0,784,0.61
7 11 ANOOP SINGH BHOLA,,M 39 SC LJP,449 0,449,0.35
13 12 MAHA SINGH,,M 70 GEN IND,422 0,422,0.33
10 13 SULTAN SINGH,,M 42 GEN RLD,317 0,317,0.25
12 14 JAI BHAGWAN SHARMA,,M 55 GEN IND,210 0,210,0.16
11 15 KULVEER SINGH,,M 42 GEN IND,185 0,185,0.14
9 16 MASTER SATYAWAN SINGH,,M 38 GEN SMBHP,164 0,164,0.13
TURAN,,,,,
,TOTAL:,128218 49,128267,75.09
Turn Out,,,,,
Constituency 24. Panipat Rural,,,TOTAL ELECTORS :,126347,
10 1 OM PRAKASH JAIN,,M 59 GEN IND,23769 1,23770,24.75
3 2 BIMLA KADIAN,,F 54 GEN INLD,17127 7,17134,17.84
12 3 DHARA SINGH,,M 46 GEN IND,12220 1,12221,12.73
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
1 4 PARSANI DEVI,,F 74 GEN INC,12016 1,12017,12.51
2 5 BIJENDER SINGH KADYAN,,M 49 GEN HJCBL,9830 0,9830,10.24
4 6 SATVINDER,,M 33 GEN BSP,7969 0,7969,8.30
