Constituency : 1 . KALKA,,,,,
1 .  PURUSH BHAN,,M,INC,29025,32.30%
2 .  LACHHMAN SINGH,,M,HVP,24034,26.74%
3 .  NARDEV,,M,BJP,22040,24.52%
4 .  KANTI PARKASH BHALLA,,M,JP,5169,5.75%
5 .  PREM SINGH,,M,BSP,4779,5.32%
6 .  AMAR SINGH,,M,IND,1516,1.69%
7 .  KRISHAN CHAND,,M,IND,731,0.81%
8 .  JAGDISH CHAND,,M,IND,583,0.65%
9 .  PUSHPA,,F,IND,259,0.29%
10 .  OM PRAKASH,,M,IND,258,0.29%
11 .  LAJJA RAM,,M,IND,246,0.27%
12 .  KRISHAN DEV,,M,IND,218,0.24%
13 .  SURINDER KUMAR,,M,IND,208,0.23%
14 .  MAHABIR PRASAD,,M,IND,183,0.20%
15 .  SURESH KUMAR,,M,IND,162,0.18%
16 .  ROSHAN LAL,,M,IND,116,0.13%
17 .  TEJINDER MOHAN,,M,IND,84,0.09%
18 .  AMAR NATH,,M,IND,76,0.08%
19 .  VINOD KUMAR,,M,IND,72,0.08%
20 .  RAM KUMAR,,M,IND,58,0.06%
21 .  JAGBIR,,M,IND,56,0.06%
,,,,
ELECTORS : 141447 VOTERS :,,92940 POLL PERCENTAGE :,65.71%,VALID VOTES :,89873
,,,,
Constituency : 2 . NARAINGARH,,,,,
1 .  SURJEET KUMAR,,M,BSP,15407,22.44%
2 .  ASHOK KUMAR,,M,INC,10869,15.83%
3 .  BHARAT BHUSHAN,,M,BJP,9982,14.54%
4 .  JAGPAL SINGH CHAUDHRY,,M,JP,7917,11.53%
5 .  VINOD KUMAR,,M,IND,7581,11.04%
6 .  LAL SINGH,,M,IND,6403,9.32%
7 .  HATHI SINGH,,M,IND,4447,6.48%
8 .  ROSHAN LAL ARYA,,M,HVP,1756,2.56%
9 .  PREETPAL SINGH,,M,IND,1301,1.89%
10 .  JAIPAL,,M,IND,697,1.02%
11 .  BHACMAL,,M,IND,554,0.81%
12 .  RAM NATH,,M,IND,369,0.54%
13 .  RANA MAHARAJ SINGH CHAUHAN,,M,IND,360,0.52%
14 .  DHARAM CHAND,,M,IND,271,0.39%
15 .  SUKHDEV SINGH,,M,DDP,230,0.33%
16 .  JAGBIR SINGH RANA,,M,IND,222,0.32%
17 .  LAJJA RAM,,M,IND,173,0.25%
18 .  MAYARAM,,M,IND,129,0.19%
,,,,
ELECTORS : 95404 VOTERS :,,71236 POLL PERCENTAGE :,74.67%,VALID VOTES :,68668
17 . RAJINDER SINGH,,,M,IND,124,0.17%
18 . RAM CHANDER,,,M,IND,108,0.15%
19 . ZILE SINGH,,,M,IND,90,0.12%
20 . SURJEET,,,M,IND,74,0.10%
21 . RAM JAWARI,,,M,IND,71,0.10%
22 . VINOD KUMAR,,,M,IND,70,0.09%
23 . KARAM CHAND,,,M,IND,63,0.09%
24 . SURJAN PAL,,,M,IND,58,0.08%
25 . BHAGIRATH LAL,,,M,IND,32,0.04%
ELECTORS :,105808 VOTERS :,77862,,POLL PERCENTAGE :,73.59%,VALID VOTES :,73970
Constituency :,12 . NILOKHERI,,,,,,
1 . JAI SINGH,,,M,IND,24099,34.62%
2 . ISHWAR SINGH,,,M,JP,11280,16.20%
3 . PARKASH VIR,,,M,INC,8442,12.13%
4 . CHANDA SINGH,,,M,IND,6883,9.89%
5 . RAJENDER SINGH,,,M,HVP,5056,7.26%
6 . AMAR SINGH,,,M,BJP,4682,6.73%
7 . MADAN LAL,,,M,IND,3029,4.35%
8 . GURMUKH SINGH,,,M,IND,2825,4.06%
9 . SURESH KUMAR,,,M,IND,1709,2.45%
10 . OM SUKH LAL,,,M,IND,654,0.94%
11 . JAI NARAIN,,,M,IND,182,0.26%
12 . ASHOK KUMAR,,,M,IND,144,0.21%
13 . RAM LAL,,,M,DDP,140,0.20%
14 . RAJ KUMAR S/O SH. KHEM CHAND,,,M,IND,97,0.14%
15 . RAJ KUMAR S/O SH. GANGA RAM,,,M,IND,81,0.12%
16 . RAM SARUP,,,M,IND,81,0.12%
17 . SIRI RAM,,,M,IND,64,0.09%
18 . HARBANS SINGH,,,M,IND,61,0.09%
19 . HIMMAT LAL,,,M,IND,43,0.06%
20 . RAGHBIR SINGH,,,M,IND,41,0.06%
21 . YASH PAL,,,M,IND,21,0.03%
ELECTORS :,99001 VOTERS :,72735,,POLL PERCENTAGE :,73.47%,VALID VOTES :,69614
Constituency :,13 . KARNAL,,,,,,
1 . JAI PARKASH,,,M,INC,36485,51.63%
2 . CHETAN DASS,,,M,BJP,16798,23.77%
3 . DALBIR SINGH SANDHU,,,M,IND,7690,10.88%
4 . BRIJ KUMAR,,,M,JP,4000,5.66%
5 . DARSHAN LAL,,,M,HVP,2634,3.73%
6 . SURAJ PARKASH,,,M,IND,360,0.51%
7 . RAVINDER KUMAR,,,M,IND,350,0.50%
8 . DEVINDER SHARMA,,,M,IND,337,0.48%
9 . ISHWAR SINGH,,,M,IND,300,0.42%
10 . SUMER CHAND,,,M,RPI,240,0.34%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
11 . PREM CHAND SHARMA,,,M,IND,210,0.30%
12 . DAULAT RAM,,,M,IND,173,0.24%
13 . GURCHARAN,,,M,IND,145,0.21%
14 . CHARAN SINGH,,,M,IND,133,0.19%
15 . JOGINDER KUMAR,,,M,IND,109,0.15%
16 . KANSHI RAM,,,M,IND,98,0.14%
17 . FATEH CHAND,,,M,IND,93,0.13%
18 . CHARANJIT SINGH SAGGU,,,M,IND,85,0.12%
19 . RAVINDER,,,M,IND,72,0.10%
20 . KALAWATI,,,F,IND,54,0.08%
21 . BHAGAT RAM,,,M,IND,54,0.08%
22 . AMARJIT SINGH,,,M,IND,53,0.08%
23 . SATINDER MOHAN,,,M,IND,52,0.07%
24 . RAJINDER PRASAD,,,M,IND,43,0.06%
25 . SHANTI DEVI,,,F,IND,42,0.06%
26 . RAMESH KUMAR,,,M,IND,40,0.06%
27 . MANJIT SINGH,,,M,IND,10,0.01%
ELECTORS :,114814 VOTERS :,72413,,POLL PERCENTAGE :,63.07%,VALID VOTES :,70660
Constituency :,14 . JUNDLA (SC),,,,,,
1 . RAJ KUMAR S/O DASS RAM,,,M,INC,16511,27.42%
2 . NAFE SINGH,,,M,JP,13947,23.16%
3 . JAI PARKASH,,,M,JD,9129,15.16%
4 . ROSAL SINGH,,,M,IND,5669,9.41%
5 . TARA SINGH,,,M,IND,3503,5.82%
6 . MAMU RAM,,,M,IND,3227,5.36%
7 . RAM NATH,,,M,BJP,3202,5.32%
8 . SHORAN,,,M,IND,1518,2.52%
9 . BALAK RAM S/O MATU RAM,,,M,IND,1039,1.73%
10 . SHAMSHER SINGH,,,M,LKD,785,1.30%
11 . HARPAL,,,M,IND,488,0.81%
12 . RAM SAWROOP,,,M,IND,277,0.46%
13 . PARBHA,,,M,RPI,175,0.29%
14 . BALAK RAM S/O DESU RAM,,,M,IND,162,0.27%
15 . MAN SINGH,,,M,IND,118,0.20%
16 . PRAN RATTNAKAR,,,M,IND,111,0.18%
17 . SAGAR CHAND,,,M,IND,111,0.18%
18 . PARAS RAM,,,M,IND,78,0.13%
19 . RAJ KUMAR S/O RAM PARSAD,,,M,IND,73,0.12%
20 . KAMAL,,,M,DDP,59,0.10%
21 . MANGE RAM,,,M,IND,33,0.05%
ELECTORS :,98814 VOTERS :,63448,,POLL PERCENTAGE :,64.21%,VALID VOTES :,60215
Constituency :,15 . GHARAUNDA,,,,,,
1 . RAM PAL SINGH S/O BASANT SINGH,,,M,INC,19466,27.92%
2 . OM PARKASH,,,M,BJP,9692,13.90%
3 . KULDIP SINGH,,,M,JP,8050,11.55%
4 . VED PAL S/O BISHAN SINGH,,,M,HVP,7904,11.34%
5 . DEEP CHAND,,,M,IND,7582,10.87%
6 . VED PAL S/O KIRU,,,M,IND,6867,9.85%
7 . RAJ BIR SINGH,,,M,IND,6176,8.86%
ELECTORS :,99779,VOTERS :,62777,POLL PERCENTAGE :,62.92%,VALID VOTES :,60144
No. CANDIDATE,,,SEX,PARTY,VOTES,%
14 . ANIL KUMAR,,,M,IND,84,0.10%
15 . RAJAN DAWAR,,,M,IND,75,0.09%
16 . SATWANT,,,M,IND,60,0.07%
17 . RAM DHAN,,,M,IND,55,0.07%
18 . BANARSI,,,M,IND,48,0.06%
19 . SUBHASH CHAND,,,M,IND,46,0.06%
20 . HARI CHAND,,,M,IND,35,0.04%
ELECTORS :,127766 VOTERS :,83525,,POLL PERCENTAGE :,65.37%,VALID VOTES :,81340
Constituency :,18 . SAMBHALKA,,,,,,
1 . HARI SINGH,,,M,JD,24225,34.30%
2 . KATAR SINGH,,,M,INC,22479,31.83%
3 . PHUL PATI,,,F,JP,19957,28.26%
4 . OM PRAKASH,,,M,BJP,2559,3.62%
5 . JAI PAUL S/O DEVI RAM,,,M,IND,869,1.23%
6 . SURINDER,,,M,IND,176,0.25%
7 . JAI PAUL S/O RACHBIR SINGH,,,M,IND,132,0.19%
8 . RAM PHAL,,,M,IND,116,0.16%
9 . SAT PAL,,,M,IND,112,0.16%
ELECTORS :,105034 VOTERS :,74586,,POLL PERCENTAGE :,71.01%,VALID VOTES :,70625
Constituency :,19 . NAULTHA,,,,,,
1 . SATBIR SINGH KADYAN,,,M,JP,24582,37.62%
2 . SATYABIR SINGH MALIK,,,M,INC,23634,36.17%
3 . SATBIR SINGH KUNDU,,,M,JD,12427,19.02%
4 . DHARAM PAL,,,M,BJP,1816,2.78%
5 . SHER SINGH CHASGAR,,,M,IND,513,0.79%
6 . JEET RAM LOHAR,,,M,IND,478,0.73%
7 . BALBIR SINGH,,,M,IND,346,0.53%
8 . JASBIR SINGH,,,M,IND,248,0.38%
9 . RAGHUBIR SINGH S/O KANSHI RAM,,,M,IND,172,0.26%
10 . MANSA RAM,,,M,IND,158,0.24%
11 . DHARMBIR KAUSHIK,,,M,IND,143,0.22%
12 . RAM PAL SHARMA,,,M,IND,117,0.18%
13 . PARAS RAM,,,M,IND,114,0.17%
14 . RAGHBIR SINGH S/O RAM DIA,,,M,IND,90,0.14%
15 . GIRDHARI LAL,,,M,IND,80,0.12%
16 . JASMER SINGH,,,M,IND,79,0.12%
17 . DHARAMBIR GULIA,,,M,IND,72,0.11%
18 . BIKRAM SINGH ARYA,,,M,IND,72,0.11%
19 . OM PRAKASH,,,M,IND,47,0.07%
20 . MOHINDER,,,M,IND,46,0.07%
21 . RAM KISHAN,,,M,IND,39,0.06%
22 . MANGE RAM,,,M,IND,37,0.06%
23 . RAM KUWAR,,,M,IND,31,0.05%
ELECTORS :,96704 VOTERS :,67898,,POLL PERCENTAGE :,70.21%,VALID VOTES :,65341
No. CANDIDATE,,SEX,PARTY,VOTES,%
4 . HARNAM SINGH,,M,CPI,7522,10.81%
5 . SOHAN SINGH S/O HUKAM SINGH,,M,IND,4768,6.85%
6 . RAGHBIR,,M,BSP,3529,5.07%
7 . SOHAN SINGH S/O KARTAR SINGH,,M,IND,1712,2.46%
8 . MIHAN SINGH,,M,IND,148,0.21%
9 . SHER SINGH,,M,DDP,146,0.21%
10 . RAM CHARAN,,M,IND,144,0.21%
11 . RAM SARUP,,M,IND,113,0.16%
12 . ANGREJ SINGH,,M,IND,96,0.14%
13 . DEVINDER KUMAR,,M,IND,76,0.11%
14 . RAJPAL,,M,IND,55,0.08%
15 . IQBAL SINGH,,M,IND,40,0.06%
ELECTORS :,97966 VOTERS :,72072,POLL PERCENTAGE :,73.57%,VALID VOTES :,69614
Constituency :,21 . RADAUR (SC),,,,,
1 . LEHRI SINGH,,M,HVP,21645,33.21%
2 . BANTA RAM,,M,JP,19321,29.65%
3 . RAM SINGH,,M,INC,17010,26.10%
4 . RATTAN LAL KATARIA,,M,BJP,2409,3.70%
5 . KURA RAM,,M,IND,2130,3.27%
6 . RAMESH KUMAR,,M,IND,449,0.69%
7 . MEHAR CHAND,,M,IND,335,0.51%
8 . JASMER SINGH,,M,IND,315,0.48%
9 . DEVI DAYAL,,M,DDP,295,0.45%
10 . SHIV DAYAL,,M,IND,221,0.34%
11 . JAGMAL,,M,IND,213,0.33%
12 . SANGARA SINGH,,M,IND,200,0.31%
13 . SUMER CHAND,,M,IND,159,0.24%
14 . SHANTA RAM,,M,IND,140,0.21%
15 . AMI SINGH,,M,IND,111,0.17%
16 . SHIV RAM,,M,IND,92,0.14%
17 . MOHINDER S/O CHUHAR RAM,,M,IND,89,0.14%
18 . MOHINDER S/O TUNGLA RAM,,M,IND,33,0.05%
ELECTORS :,95960 VOTERS :,67856,POLL PERCENTAGE :,70.71%,VALID VOTES :,65167
Constituency :,22 . THANESAR,,,,,
1 . RAM PARKASH,,M,INC,24471,33.65%
2 . ASHOK KUMAR,,M,JP,18458,25.38%
3 . SAHIB SINGH SAINI,,M,HVP,15064,20.71%
4 . ATAM PARKASH,,M,BJP,10477,14.41%
5 . RAM KUMAR,,M,BSP,1590,2.19%
6 . MANGA RAM,,M,IND,943,1.30%
7 . DHARAM PAL,,M,IND,445,0.61%
8 . RAM PHAL,,M,IND,171,0.24%
9 . VIJAY KUMAR,,M,IND,150,0.21%
10 . NARINDER KUMAR KAUSHIK,,M,IND,138,0.19%
11 . RAM SINGH,,M,IND,129,0.18%
12 . SURINDER KUMAR S/O ROSHAN,,M,IND,116,0.16%
13 . BALBIR SINGH,,M,IND,105,0.14%
14 . AMI CHAND,,M,IND,100,0.14%
15 . SURINDER KUMAR S/O PREM,,M,IND,84,0.12%
ELECTORS :,107790,VOTERS :,77993,POLL PERCENTAGE :,72.36%,VALID VOTES :,75242
No. CANDIDATE,,,SEX,PARTY,VOTES,%
10 . HANS RAJ,,,M,IND,284,0.43%
11 . KANWAR BHAN,,,M,IND,216,0.33%
12 . KULWANT RAO,,,M,IND,211,0.32%
13 . KRISHAN LAL,,,M,IND,127,0.19%
14 . KAILASH CHAND,,,M,IND,127,0.19%
15 . BAINI PRASHAD,,,M,IND,104,0.16%
16 . GULABA,,,M,IND,73,0.11%
17 . MAHINDER SINGH,,,M,IND,64,0.10%
18 . SANT LAL,,,M,IND,43,0.06%
19 . SURINDER PRAKASH,,,M,IND,33,0.05%
20 . BHAN,,,M,IND,29,0.04%
21 . SHAM LAL,,,M,IND,23,0.03%
ELECTORS :,93522 VOTERS :,68573,,POLL PERCENTAGE :,73.32%,VALID VOTES :,66368
Constituency :,26 . PUNDRI,,,,,,
1 . ISHWAR S/O SIND RAM,,,M,INC,22660,33.22%
2 . MAKHAN SINGH,,,M,JP,14476,21.22%
3 . AMAR SINGH S/O RAM KISHAN,,,M,IND,11696,17.15%
4 . MITER SAIN,,,M,BJP,7638,11.20%
5 . MUKHTIAR SINGH,,,M,JD,7637,11.20%
6 . BABU RAM,,,M,IND,1334,1.96%
7 . RAJ KUMAR,,,M,IND,1070,1.57%
8 . VISHNU DUTT,,,M,IND,220,0.32%
9 . AMAR SINGH S/O BAKSHI,,,M,IND,170,0.25%
10 . PURAN CHAND,,,M,IND,164,0.24%
11 . JOGA SINGH,,,M,IND,153,0.22%
12 . RAGHUBIR S/O SINDHA,,,M,IND,102,0.15%
13 . ROSHAN LAL,,,M,IND,92,0.13%
14 . ISHWAR S/O KARTA,,,M,IND,86,0.13%
15 . DIDAR SINGH,,,M,IND,86,0.13%
16 . FAKKIR CHAND,,,M,IND,75,0.11%
17 . SURESH,,,M,IND,60,0.09%
18 . RANDHIR SINGH,,,M,IND,55,0.08%
19 . BALBIR SINGH,,,M,IND,54,0.08%
20 . ANISTH,,,M,IND,52,0.08%
21 . JAGDISH,,,M,IND,50,0.07%
22 . SURAJ PAL,,,M,IND,49,0.07%
23 . KRISHAN LAL,,,M,IND,44,0.06%
24 . SAT PAL,,,M,IND,43,0.06%
25 . DEVI DAYAL,,,M,IND,42,0.06%
26 . RANBIR S/O GYAN SINGH,,,M,IND,30,0.04%
27 . GYAN SINGH,,,M,IND,29,0.04%
28 . JAWAHAR LAL,,,M,IND,25,0.04%
29 . MOHAN LAL,,,M,IND,14,0.02%
ELECTORS :,95882 VOTERS :,71432,,POLL PERCENTAGE :,74.50%,VALID VOTES :,68206
Constituency :,27 . PAI,,,,,,
1 . TEJRNDRA PAL,,,M,INC,26752,41.53%
2 . NAR SINGH,,,M,JP,15904,24.69%
3 . HARPHOOL SINGH,,,M,HVP,13505,20.96%
4 . KARTARA,,,M,BSP,3262,5.06%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
5 . SISPAL,,,M,IND,1644,2.55%
6 . RAMPHAL,,,M,IND,1015,1.58%
7 . NAFE SINGH,,,M,IND,729,1.13%
8 . BALBIR,,,M,BJP,493,0.77%
9 . JAIPAL,,,M,IND,318,0.49%
10 . CHHALLU,,,M,IND,269,0.42%
11 . PALA,,,M,IND,145,0.23%
12 . SANTRO DEVI,,,F,IND,120,0.19%
13 . SATPAL S/O HEM RAJ,,,M,IND,106,0.16%
14 . RAJPAL,,,M,IND,86,0.13%
15 . SATPAL S/O ANTA,,,M,IND,50,0.08%
16 . MEHAN SINGH,,,M,IND,25,0.04%
ELECTORS :,94245 VOTERS :,,67153,POLL PERCENTAGE :,71.25%,VALID VOTES :,64423
Constituency :,28 . HASSANGARH,,,,,,
1 . BALWANT SINGH,,,M,JP,27929,49.08%
2 . VIRENDRA KUMAR,,,M,INC,23100,40.59%
3 . SANT KUMAR,,,M,HVP,3346,5.88%
4 . SHRI BHAGWAN,,,M,IND,1028,1.81%
5 . RAVI CHAND SINDHU,,,M,BJP,481,0.85%
6 . NARENDRA SINGH,,,M,IND,174,0.31%
7 . PARVEEN,,,M,IND,170,0.30%
8 . PURUSHOTAM,,,M,IND,144,0.25%
9 . PREM,,,M,IND,113,0.20%
10 . SATDEV,,,M,IND,75,0.13%
11 . NARESH KUMAR,,,M,IND,62,0.11%
12 . SURENDER SINGH,,,M,RKD,60,0.11%
13 . BASANTI DEVI,,,F,IND,48,0.08%
14 . MAHENDER SINGH,,,M,IND,45,0.08%
15 . MEHAR SINGH,,,M,IND,34,0.06%
16 . KARAMBIR,,,M,IND,33,0.06%
17 . HAWA SINGH,,,M,IND,30,0.05%
18 . JASBIR,,,M,IND,23,0.04%
19 . HOSHIARA,,,M,IND,14,0.02%
ELECTORS :,94154 VOTERS :,,58739,POLL PERCENTAGE :,62.39%,VALID VOTES :,56909
Constituency :,29 . KILOI,,,,,,
1 . KRISHAN MURTI,,,M,INC,27265,45.01%
2 . SHRI KRISHAN,,,M,JP,24038,39.68%
3 . RAGHUVIR,,,M,CPM,4687,7.74%
4 . ISHWAR,,,M,IND,1326,2.19%
5 . KRISHNA CHAUDHARY,,,F,BJP,871,1.44%
6 . SATBIR SINGH,,,M,IND,816,1.35%
7 . RAM CHAND,,,M,IND,813,1.34%
8 . BHIM SINGH,,,M,IND,191,0.32%
9 . BIDHYA NIDHI,,,M,IND,155,0.26%
10 . RANBIR,,,M,IND,129,0.21%
11 . BASANT,,,M,IND,108,0.18%
12 . RAM BHAI,,,M,IND,70,0.12%
13 . DHARAM PAL,,,M,IND,60,0.10%
14 . SUKHVINDER,,,M,IND,51,0.08%
